api_internal_id,award_id,recipient,awarding_agency,amount_usd,description,award_base_date,last_modified_date
CONT_AWD_W50S7X26PA003_9700_-NONE-_-NONE-,W50S7X26PA003,"SWARM DEFENSE TECHNOLOGIES, LLC",Department of Defense,143420.0,"THE PROCUREMENT IS FOR A COMPLETE SYSTEM OF DRONES AND ASSOCIATED WITH COMMAND AND CONTROL (C2) SOFTWARE CAPABLE OF EXECUTING COMPLEX, AUTONOMOUS SWARM OPERATIONS.",2026-03-25,2026-05-20 13:54:43
CONT_AWD_W58RGZ13C0142_9700_-NONE-_-NONE-,W58RGZ13C0142,"GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC.",Department of Defense,3273525.3,WARRIOR ALPHA/BLOCK 0 UNMANNED AIRCRAFT SYSTEM (UAS) ENGINEERING SERVICES SUPPORT FOR FY13 (BASE) / FY14 (OPTION).,2013-09-27,2026-04-28 15:34:46
CONT_AWD_W58RGZ19C0022_9700_-NONE-_-NONE-,W58RGZ19C0022,"GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC.",Department of Defense,397979427.08,REQUIREMENT IS FOR THE PROCUREMENT OF FULL RATE PRODUCTION 5.,2019-07-15,2026-02-09 15:17:54
CONT_AWD_W58RGZ19F0256_9700_W58RGZ18D0138_9700,W58RGZ19F0256,"GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC.",Department of Defense,5521971.32,ENGINEERING SERVICES FY19 - 23 FOR GRAY EAGLE AIRCRAFT SYSTEM,2019-03-08,2026-05-13 16:41:21
CONT_AWD_W58RGZ19F0406_9700_W58RGZ18D0138_9700,W58RGZ19F0406,"GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC.",Department of Defense,7880922.7,ENGINEERING SERVICES FOR GRAY EAGLE,2019-05-06,2026-04-02 07:14:17
CONT_AWD_W58RGZ20F0074_9700_W58RGZ18D0138_9700,W58RGZ20F0074,"GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC.",Department of Defense,7356723.05,ENGINEERING SERVICES FY19- FY23 FOR GRAY EAGLE AIRCRAFT SYSTEM,2019-10-30,2025-11-13 17:32:39
CONT_AWD_W58RGZ21C0041_9700_-NONE-_-NONE-,W58RGZ21C0041,"AEROVIRONMENT, INC.",Department of Defense,4151320.11,ACQUISITION OF PUMA AND WASP AIRCRAFT SYSTEM FOR BANGLADESH,2021-09-27,2026-04-02 15:20:12
CONT_AWD_W58RGZ22C0014_9700_-NONE-_-NONE-,W58RGZ22C0014,"GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC.",Department of Defense,130478200.4,MQ-1C GRAY EAGLE EXTENDED RANGE FULL RATE PRODUCTION VI,2021-11-18,2026-04-20 12:42:07
CONT_AWD_W58RGZ22C0021_9700_-NONE-_-NONE-,W58RGZ22C0021,"AEROVIRONMENT, INC.",Department of Defense,6172242.4,PROCUREMENT OF PUMA LE,2022-01-21,2026-04-16 10:29:52
CONT_AWD_W58RGZ23C0007_9700_-NONE-_-NONE-,W58RGZ23C0007,"AEROVIRONMENT, INC",Department of Defense,323054027.34,UKRAINE RQ-20B ALL ENVIRONMENT (AE) 3 AND LONG ENDURANCE (LE) PUMA UNMANNED AIRCRAFT SYSTEMS (UAS) ACCESSORIES AND SERVICES IN SUPPORT OF,2022-11-09,2025-11-18 12:31:17
