api_internal_id,award_id,recipient,awarding_agency,amount_usd,description,award_base_date,last_modified_date
CONT_AWD_W900KK25FA087_9700_W900KK22D0010_9700,W900KK25FA087,"GRIFFON AEROSPACE, INC.",Department of Defense,3064152.72,"DELIVERY ORDER 58 UNDER THE AIR DEFENSE ARTILLERY TARGETS II (ADA-T II) INDEFINITE DELIVERY/INDEFINITE QUANTITY (IDIQ) CONTRACT W900KK-22-D-0010 FOR ENGINEERING SERVICES, SUB-ESM 03-10 AND 03-13.",2025-06-03,2026-06-03 11:24:09
CONT_AWD_W900KK25FA098_9700_W900KK24D0028_9700,W900KK25FA098,"AEVEX AEROSPACE, LLC",Department of Defense,1859192.79,DELIVERY ORDER FOR SMALL UNMANNED AERIAL COUNTER SYSTEMS.,2025-06-26,2026-04-16 13:08:39
CONT_AWD_W900KK25FA134_9700_W900KK22D0010_9700,W900KK25FA134,"GRIFFON AEROSPACE, INC.",Department of Defense,2468715.0,"DELIVERY ORDER (DO) #69 UNDER THE AIR DEFENSE ARTILLERY TARGETS (ADA-T) CONTRACT W900KK-22-D-0010, USED TO PROVIDE AERIAL TARGET REPLACEMENT HARDWARE FOR ITEMS USED IN SUPPORT OF ARMY AND NAVY TRAINING AND TEST EVENTS.",2025-09-02,2026-05-29 10:41:51
CONT_AWD_W900KK25FA156_9700_W900KK24D0026_9700,W900KK25FA156,QINETIQ INC.,Department of Defense,159781.2,"DELIVERY ORDER FOR PROCUREMENT OF MQM-185 AERIAL TARGETS, SPARES, GROUND SUPPORT EQUIPMENT AND ENGINEERING SUPPORT.",2025-09-26,2026-03-25 14:20:31
CONT_AWD_W900KK26FA032_9700_W900KK22D0010_9700,W900KK26FA032,"GRIFFON AEROSPACE, INC.",Department of Defense,1802967.0,"DELIVERY ORDER (DO) #71 UNDER THE AIR DEFENSE ARTILLERY TARGETS (ADA-T) CONTRACT W900KK-22-D-0010, USED TO PROVIDE AERIAL TARGET REPLACEMENT HARDWARE FOR ITEMS USED IN SUPPORT OF ARMY AND NAVY TRAINING AND TEST EVENTS.",2026-01-30,2026-01-30 13:09:29
CONT_AWD_W900KK26FA044_9700_W900KK23D0015_9700,W900KK26FA044,"KRATOS UNMANNED AERIAL SYSTEMS, INC",Department of Defense,7551400.6,"TO PROVIDE ACCREDITED, THREAT REPRESENTATIVE UNMANNED AERIAL TARGET SYSTEMS FOR USE IN SENSOR PRESENTATIONS OR LIVE FIRE TRACKING AND ENGAGEMENT FOR WEAPONS SYSTEMS TESTING.",2026-03-19,2026-03-19 13:05:00
CONT_AWD_W900KK26FA047_9700_W900KK22D0010_9700,W900KK26FA047,"GRIFFON AEROSPACE, INC.",Department of Defense,368491.0,"DELIVERY ORDER (DO) #74 UNDER THE AIR DEFENSE ARTILLERY TARGETS (ADA-T) CONTRACT W900KK-22-D-0010, USED TO PROVIDE AERIAL TARGET REPLACEMENT HARDWARE FOR ITEMS USED IN SUPPORT OF ARMY AND NAVY TRAINING AND TEST EVENTS.",2026-03-04,2026-09-13 07:19:25
CONT_AWD_W900KK26FA062_9700_W900KK22D0010_9700,W900KK26FA062,"GRIFFON AEROSPACE, INC.",Department of Defense,158802.0,"DELIVERY ORDER (DO) #76 UNDER THE AIR DEFENSE ARTILLERY TARGETS (ADA-T) CONTRACT W900KK-22-D-0010, USED TO PROVIDE AERIAL TARGET REPLACEMENT HARDWARE FOR ITEMS USED IN SUPPORT OF ARMY AND NAVY TRAINING AND TEST EVENTS.",2026-04-03,2026-04-03 11:16:41
CONT_AWD_W900KK26FA066_9700_W900KK23D0015_9700,W900KK26FA066,"KRATOS UNMANNED AERIAL SYSTEMS, INC",Department of Defense,2786709.68,"TO PROVIDE ACCREDITED, THREAT REPRESENTATIVE UNMANNED AERIAL TARGET SYSTEMS FOR USE IN SENSOR PRESENTATIONS OR LIVE FIRE TRACKING AND ENGAGEMENT FOR WEAPONS SYSTEMS TESTING.",2026-05-08,2026-05-08 13:44:22
CONT_AWD_W900KK26FA104_9700_W900KK23D0015_9700,W900KK26FA104,"KRATOS UNMANNED AERIAL SYSTEMS, INC",Department of Defense,6279408.0,"DELIVERY ORDER FOR BQM-167 AND MQM-178 TARGET PLATFORMS. TO PROVIDE ACCREDITED, THREAT REPRESENTATIVE UNMANNED AERIAL TARGET SYSTEMS FOR USE IN SENSOR PRESENTATIONS OR LIVE FIRE TRACKING AND ENGAGEMENT FOR WEAPONS SYSTEMS TESTING.",2026-05-20,2026-05-20 15:24:23
CONT_AWD_W900KK26FA107_9700_W900KK22D0010_9700,W900KK26FA107,"GRIFFON AEROSPACE, INC.",Department of Defense,346070.0,DELIVERY ORDER (DO) 84 UNDER AIR DEFENSE ARTILLERY TARGETS (ADAT) CONTRACT FOR AERIAL TARGETS REPLACEMENT HARDWARE EXPENDED DURING NAVY TRAINING AND TEST EVENTS,2026-06-12,2026-06-12 11:15:54
CONT_AWD_W900KK26FA109_9700_W900KK22D0010_9700,W900KK26FA109,"GRIFFON AEROSPACE, INC.",Department of Defense,788315.0,"DELIVERY ORDER (DO) #79 UNDER THE AIR DEFENSE ARTILLERY TARGETS (ADA-T) CONTRACT W900KK-22-D-0010, USED TO PROVIDE AERIAL TARGET REPLACEMENT HARDWARE FOR ITEMS USED IN SUPPORT OF ARMY AND NAVY TRAINING AND TEST EVENTS.",2026-06-11,2026-06-11 15:28:55
CONT_AWD_W900KK26FA112_9700_W900KK23D0015_9700,W900KK26FA112,"KRATOS UNMANNED AERIAL SYSTEMS, INC",Department of Defense,8310622.6,"TO PROVIDE ACCREDITED, THREAT REPRESENTATIVE UNMANNED AERIAL TARGET SYSTEMS FOR USE IN SENSOR PRESENTATIONS OR LIVE FIRE TRACKING AND ENGAGEMENT FOR WEAPONS SYSTEMS TESTING.",2026-06-22,2026-06-22 15:40:31
CONT_AWD_W911QY25PA016_9700_-NONE-_-NONE-,W911QY25PA016,"SKYDIO, INC",Department of Defense,42115.35,DRONE - SKYDIO X10D PLUS 3D SCAN,2025-06-04,2026-01-30 08:25:46
CONT_AWD_W911RX26PA003_9700_-NONE-_-NONE-,W911RX26PA003,STRATEGIC LOGIX LLC,Department of Defense,24664.82,UNMANNED AIRCRAFT SYSTEMS,2026-01-12,2026-04-28 17:06:11
CONT_AWD_W911S224P0695_9700_-NONE-_-NONE-,W911S224P0695,SUNCORE DISTRIBUTION LLC,Department of Defense,38903.25,UNISON BUY # 1173179 EDGE 130 (SUAS) PRO KIT,2024-06-12,2026-03-26 12:09:43
CONT_AWD_W911S225FA226_9700_W911S225AA091_9700,W911S225FA226,W S DARLEY & CO,Department of Defense,186520.0,S2P2: UAS SOLICITATION # W911S225U1681,2025-09-08,2025-11-03 10:43:56
CONT_AWD_W911S225FA246_9700_W911S225AA095_9700,W911S225FA246,PERFORMANCE DRONE WORKS LLC,Department of Defense,2670615.0,S2P2: UAS - SOLICITATION# W911S225U1585,2025-09-22,2026-05-06 06:58:14
CONT_AWD_W911S225FA248_9700_W911S225AA086_9700,W911S225FA248,"VANTAGE ROBOTICS, INC.",Department of Defense,799675.0,S2P2: UAS SOLICITATION W911S225U1826,2025-09-22,2026-05-12 12:27:55
CONT_AWD_W911S225FA252_9700_W911S225AA086_9700,W911S225FA252,"VANTAGE ROBOTICS, INC.",Department of Defense,109478.75,S2P2 - UAS - W911S225U2112,2025-09-26,2026-04-22 15:28:45
CONT_AWD_W911S225FA259_9700_W911S225AA084_9700,W911S225FA259,"FW ACQUISITION, INC.",Department of Defense,85085.0,S2P2: UAS SOLICITATION # W911S225U1584,2025-09-29,2026-02-19 13:01:50
CONT_AWD_W911S225PA774_9700_-NONE-_-NONE-,W911S225PA774,"ROBOLINK, INC.",Department of Defense,224549.22,S2P2: COMPETITION DRONES SOLICITATION# W911S225U1593,2025-09-02,2026-01-21 13:05:09
CONT_AWD_W911S225PB107_9700_-NONE-_-NONE-,W911S225PB107,"CAPITAL SCIENCES, LLC",Department of Defense,50025.0,S2P2 : UAV TRACKING SYSTEM : SOLICITATION W911S225U1981,2025-09-22,2025-10-09 16:24:03
CONT_AWD_W911S226FA023_9700_W911S225AA090_9700,W911S226FA023,"NEROS, INC.",Department of Defense,65770.0,S2P2: UAS: W911S225U2148,2025-12-15,2026-03-16 08:30:21
CONT_AWD_W911S226FA053_9700_W911S225AA090_9700,W911S226FA053,"NEROS, INC.",Department of Defense,71000.0,MASTER BLANKET PURCHASE AGREEMENT FOR BLUE LIST COMPLIANT UNMANNED AIRCRAFT SYSTEMS AND PARTS.,2026-01-29,2026-04-28 11:33:27
CONT_AWD_W911S226FA064_9700_W911S225AA090_9700,W911S226FA064,"NEROS, INC.",Department of Defense,216340.0,S2P2: UAS SOLICITATION # W911S226U2479,2026-02-20,2026-05-27 07:20:53
CONT_AWD_W911S226FA066_9700_W911S226AA007_9700,W911S226FA066,TITAN DYNAMICS INC,Department of Defense,49680.11,S2P2: UAS SOLICITATION # W911S226U2390,2026-02-20,2026-06-08 10:25:51
CONT_AWD_W911S226FA076_9700_W911S225AA091_9700,W911S226FA076,W S DARLEY & CO,Department of Defense,35226.5,S2P2: UAS: W911S226U2554,2026-02-26,2026-03-23 12:43:38
CONT_AWD_W911S226FA080_9700_W911S225AA102_9700,W911S226FA080,"ATLANTIC DIVING SUPPLY, INC.",Department of Defense,161308.31,S2P2: PRESCRIBED FIRE DRONE: W911S226U2251,2026-03-05,2026-03-17 12:22:30
CONT_AWD_W911S226FA088_9700_W911S225AA086_9700,W911S226FA088,"VANTAGE ROBOTICS, INC.",Department of Defense,39143.0,S2P2: UAS: W911S226U2670,2026-03-19,2026-06-29 11:34:44
CONT_AWD_W911S226FA090_9700_W911S225AA090_9700,W911S226FA090,"NEROS, INC.",Department of Defense,27130.0,MASTER BLANKET PURCHASE AGREEMENT FOR BLUE LIST COMPLIANT UNMANNED AIRCRAFT SYSTEMS AND PARTS.,2026-03-24,2026-05-27 07:20:53
CONT_AWD_W911S226FA104_9700_W91CRB21A0002_9700,W911S226FA104,"ATLANTIC DIVING SUPPLY, INC.",Department of Defense,0.0,S2P2: UAS SOLICITATION: W911S226U2648,2026-04-02,2026-04-03 12:53:16
CONT_AWD_W911S226FA106_9700_W911S225AA102_9700,W911S226FA106,"ATLANTIC DIVING SUPPLY, INC.",Department of Defense,137824.94,S2P2: UAS SOLICITATION: W911S226U2648 MASTER BLANKET PURCHASE AGREEMENT FOR BLUE LIST COMPLIANT UNMANNED AIRCRAFT SYSTEMS AND PARTS.,2026-04-07,2026-04-07 09:52:09
CONT_AWD_W911S226FA110_9700_W911S225AA090_9700,W911S226FA110,"NEROS, INC.",Department of Defense,51000.0,S2P2: UAS CROSSBOW: W911S226U2745,2026-04-13,2026-07-07 09:01:11
CONT_AWD_W911S226FA113_9700_W911S225AA090_9700,W911S226FA113,"NEROS, INC.",Department of Defense,127585.0,S2P2: UAS SOLICITATION # W911S226U2857,2026-04-15,2026-06-30 13:19:21
CONT_AWD_W911S226FA116_9700_W911S225AA102_9700,W911S226FA116,"ATLANTIC DIVING SUPPLY, INC.",Department of Defense,47853.7,S2P2: UAS: SOLICITATION: W911S2U2608 MASTER BLANKET PURCHASE AGREEMENT FOR BLUE LIST COMPLIANT UNMANNED AIRCRAFT SYSTEMS AND PARTS.,2026-04-16,2026-04-16 09:45:24
CONT_AWD_W911S226FA135_9700_W911S226AA007_9700,W911S226FA135,TITAN DYNAMICS INC,Department of Defense,0.0,S2P2: UAS: W911S226U3022,2026-05-01,2026-05-01 11:32:55
CONT_AWD_W911S226FA168_9700_W911S225AA102_9700,W911S226FA168,"ATLANTIC DIVING SUPPLY, INC.",Department of Defense,28354.8,S2P2: UAS: W911S226U3300,2026-06-22,2026-06-22 15:51:00
CONT_AWD_W911S226PA196_9700_-NONE-_-NONE-,W911S226PA196,STRATEGIC LOGIX LLC,Department of Defense,27600.0,S2P2 : UAS : SOLICITATION # W911S226U2484,2026-02-13,2026-03-30 08:35:23
CONT_AWD_W911S226PA258_9700_-NONE-_-NONE-,W911S226PA258,THE WREKD COMPANY LLC,Department of Defense,44887.4,S2P2: FPV DRONE PACKAGE: W911S226U2343,2026-03-10,2026-05-04 15:02:05
CONT_AWD_W911S226PA259_9700_-NONE-_-NONE-,W911S226PA259,THE WREKD COMPANY LLC,Department of Defense,15761.0,S2P2: FPV TOOLS AND SPARES EQUIPMENT SOLICITATION# W911S226U2344,2026-03-12,2026-06-02 11:09:18
CONT_AWD_W911S226PA268_9700_-NONE-_-NONE-,W911S226PA268,THE WREKD COMPANY LLC,Department of Defense,23485.19,S2P2 - TINY WHOOP TRAINER FPV (DRONE) PACKAGE W911S226U2335,2026-03-11,2026-03-23 13:52:18
CONT_AWD_W911S226PA333_9700_-NONE-_-NONE-,W911S226PA333,W S DARLEY & CO,Department of Defense,48855.07,S2P2: UAS: SOLICITATION: W911S226U2835,2026-03-30,2026-09-01 08:38:28
CONT_AWD_W911S226PA487_9700_-NONE-_-NONE-,W911S226PA487,ATLAS GATE CONTRACTING LLC,Department of Defense,22486.4,G32-SPRINT FPV SYSTEM,2026-05-05,2026-06-09 15:31:14
CONT_AWD_W911S226PA488_9700_-NONE-_-NONE-,W911S226PA488,TITAN DYNAMICS INC,Department of Defense,89400.0,S2P2: UAS: W911S226U3022,2026-05-05,2026-05-27 08:42:58
CONT_AWD_W911S226PA621_9700_-NONE-_-NONE-,W911S226PA621,CANINE DEFENSE TECHNOLOGIES LLC,Department of Defense,99500.0,S2P2 : UAS : SOLICITATION # W911S226U3183,2026-06-04,2026-08-10 12:22:28
CONT_AWD_W911S226PA680_9700_-NONE-_-NONE-,W911S226PA680,"ROBOLINK, INC.",Department of Defense,76787.0,S2P2: DRONES SOLICITATION # W911S226U3361,2026-06-18,2026-06-18 10:39:50
CONT_AWD_W911SD24P0114_9700_-NONE-_-NONE-,W911SD24P0114,FLIGHTWAVE AEROSPACE SYSTEMS CORPORATION,Department of Defense,35300.0,FLIGHTWAVE THE EDGE 130 BLUE,2024-08-16,2026-03-27 14:31:08
CONT_AWD_W911SD26FA006_9700_GS07F087BA_4732,W911SD26FA006,RDO EQUIPMENT CO,Department of Defense,20138.8,WINGTRA SPARE DRONE GEN II,2026-01-09,2026-07-20 09:05:13
CONT_AWD_W911SD26PA043_9700_-NONE-_-NONE-,W911SD26PA043,"OAKUM GROUP, LLC",Department of Defense,98230.0,ASTRO MAX LIDAR UAS PACKAGE,2026-04-14,2026-08-04 11:33:24
CONT_AWD_W9124726PA012_9700_-NONE-_-NONE-,W9124726PA012,TEAL DRONES INC,Department of Defense,56201.45,IRF DRONE REQUIREMENT 30X RED CAT HOLDINGS TEAL - FANG 7 FPVS. NDAA COMPLIANT AND UAS BLUE LIST CERTIFIED. IN ORDER TO CONDUCT RAPID CUAS TRAINING FOR 3-4 AD WITH APPROVED SYSTEMS. IN ORDER TO CONDUCT RAPID C-UAS TRAINING SYSTEMS.,2026-02-26,2026-03-16 09:20:25
CONT_AWD_W912CH26CA012_9700_-NONE-_-NONE-,W912CH26CA012,SMART SHOOTER INC.,Department of Defense,3151202.0,SMASH 2000LE FIRE CONTROL SYSTEM AND ASSOCIATED SPARES AND TRAINING COURSE.,2026-03-21,2026-06-16 13:21:44
CONT_AWD_W912CH26PA009_9700_-NONE-_-NONE-,W912CH26PA009,"ATLANTIC DIVING SUPPLY, INC.",Department of Defense,621353.5,PROCUREMENT OF X10D SYSTEMS FROM SKYDIO.,2026-03-25,2026-06-16 14:42:55
CONT_AWD_W912EE26PA032_9700_-NONE-_-NONE-,W912EE26PA032,"SEILER INSTRUMENT AND MANUFACTURING COMPANY, INCORPORATED",Department of Defense,50100.0,THE TECHNICAL SERVICE BRANCH NEEDS AN INSPIRED FLIGHT 1200A UNMANNED AIRCRAFT SYSTEM.,2026-05-28,2026-05-28 10:24:14
CONT_AWD_W912JF26PA010_9700_-NONE-_-NONE-,W912JF26PA010,"DRONE CENTRAL, LLC",Department of Defense,18971.37,77TH AVIATION TRAINING DRONES,2026-04-20,2026-08-31 20:27:18
CONT_AWD_W912JV26PA006_9700_-NONE-_-NONE-,W912JV26PA006,3AUTONOMY LLC,Department of Defense,124600.0,RTI 3D PRINTED GROUP 1 UAS KITS CONTRACT PR BILLING CYCLE ENDING 19MAY2026 249 RTI,2026-06-01,2026-06-01 16:24:58
CONT_AWD_W912K326PA007_9700_-NONE-_-NONE-,W912K326PA007,NAPATREE TECHNOLOGY LLC,Department of Defense,300000.0,DRONES,2026-02-10,2026-03-05 09:30:59
CONT_AWD_W912L726PA011_9700_-NONE-_-NONE-,W912L726PA011,"NEROS, INC.",Department of Defense,14700.0,DRONE,2026-04-02,2026-04-02 11:31:19
CONT_AWD_W912L726PA014_9700_-NONE-_-NONE-,W912L726PA014,SUPPLYCORE LLC,Department of Defense,92391.3,117TH RTI RTI EQUIPMENT NEEDS BLUE LABEL SUAS CONTRACT #3 TDA UNIT DODAAC: W90YRL SFC PHILIP WALLACE 615-355-3692,2026-04-15,2026-04-17 09:20:56
CONT_AWD_W912L726PA015_9700_-NONE-_-NONE-,W912L726PA015,"MODALAI, INC.",Department of Defense,17039.95,117TH RTI RTI EQUIPMENT NEEDS BLUE LABEL SUAS CONTRACT #2 TDA UNIT DODAAC: W90YRL SFC PHILIP WALLACE 615-355-3692,2026-04-22,2026-04-22 11:19:34
CONT_AWD_W912PB26FA158_9700_W912PB26AA002_9700,W912PB26FA158,DRONIVO GMBH,Department of Defense,210291.09,SMALL UNMANNED AIRCRAFT SYSTEM ANCILLARY EQUIPMENT AND BATTERIES FOR 7TH ATC.,2026-01-29,2026-02-05 09:53:11
CONT_AWD_W912PB26FA188_9700_W912PB26AA004_9700,W912PB26FA188,ORQA D.O.O.,Department of Defense,24730.0,SMALL UNMANNED AIRCRAFT SYSTEM-RECOVERABLE PLATFORMS FOR 7TH ATC CATC.,2026-01-30,2026-03-04 09:12:48
CONT_AWD_W912PB26FA261_9700_W912PB26AA015_9700,W912PB26FA261,"SINE ADVANCED ENGINEERING, INC.",Department of Defense,272500.0,UAV PLATFORMS AND TRAINING FOR 7TH ARMY TRAINING COMMAND (ATC).,2026-03-12,2026-03-12 11:04:32
CONT_AWD_W912PB26FA285_9700_W912PB26AA002_9700,W912PB26FA285,DRONIVO GMBH,Department of Defense,1431000.0,ANAFI PARROT UKR XLR SUAS AND BATTERIES FOR 2D CAVALRY REGIMENT.,2026-03-17,2026-03-17 09:34:31
CONT_AWD_W912PB26FA343_9700_W912PB26AA002_9700,W912PB26FA343,DRONIVO GMBH,Department of Defense,874810.0,FLYTRAP 5.0 (SBS26) EBEE VISION SUAS AND BATTERIES FOR 2D CAVALRY REGIMENT,2026-04-02,2026-04-02 07:22:52
CONT_AWD_W912PB26FA349_9700_W912PB26AA004_9700,W912PB26FA349,ORQA D.O.O.,Department of Defense,280711.54,FLYTRAP 5.0 (SB26) PBAS SUAS ISO 2D CALVARY DIVISION,2026-03-31,2026-03-31 07:07:08
CONT_AWD_W912PB26FA353_9700_W912PB26AA015_9700,W912PB26FA353,"SINE ADVANCED ENGINEERING, INC.",Department of Defense,258254.46,SINE BEACONS AND FSR SUPPORT IAW ATTACHED PWS AND QUOTE #1012.,2026-04-02,2026-06-15 07:46:48
CONT_AWD_W912PB26FA364_9700_W912PB26AA012_9700,W912PB26FA364,UAB DANGOLAKIS,Department of Defense,23364.65,FLYTRAP 5.0 (SB26) ELRS UAS FOR 2D CALVARY DIVISION,2026-04-08,2026-04-08 07:10:15
CONT_AWD_W912PB26FA386_9700_W912PB26AA012_9700,W912PB26FA386,UAB DANGOLAKIS,Department of Defense,120516.21,SOCEUR TEIL UAS PARTS,2026-04-19,2026-06-05 04:56:49
CONT_AWD_W912PB26FA400_9700_W912PB26AA002_9700,W912PB26FA400,DRONIVO GMBH,Department of Defense,208380.0,PURCHASE OF 3 EACH EBEE VISION AND 3 EACH EBEE VISION GROUND CONTROL SYSTEMS,2026-04-29,2026-04-29 05:30:32
CONT_AWD_W912PB26FA417_9700_W912PB26AA002_9700,W912PB26FA417,DRONIVO GMBH,Department of Defense,134190.0,THE 2D CAVALRY REGIMENT (2CR) REQUIRES THE PROCUREMENT OF 44 COMMERCIAL GROUP 2 FIXED-WING SRR/MRR DRONES TO SERVE AS AERIAL TARGETS.,2026-05-12,2026-05-12 09:38:15
CONT_AWD_W912PB26FA471_9700_W912PB26AA003_9700,W912PB26FA471,GUL,Department of Defense,266696.5,TEIL BENCH STOCK AND LAB IMPROVEMENT_ 028830,2026-06-09,2026-06-09 11:00:26
CONT_AWD_W912PB26FA475_9700_W912PB26AA003_9700,W912PB26FA475,GUL,Department of Defense,187467.25,TEIL BENCH STOCK AND LAB IMPROVEMENT PROJECT_028839,2026-06-15,2026-06-15 06:05:25
CONT_AWD_W912PB26PA051_9700_-NONE-_-NONE-,W912PB26PA051,6966624 CANADA INC,Department of Defense,96010.79,PTKM-1R TRAINING,2026-06-18,2026-06-18 04:07:35
CONT_AWD_W912SR26PA001_9700_-NONE-_-NONE-,W912SR26PA001,DRONIVO GMBH,Department of Defense,202170.17,BRAND NAME RESTRICTION TO PROCURE PARROT AND EBEE PLATFORM UAS LISTED VIA BLUE UAS SELECT,2025-12-05,2026-02-12 10:21:45
CONT_AWD_W912SV25FA099_9700_GS07F188AA_4732,W912SV25FA099,RPT CONSULTING LLC,Department of Defense,0.0,MA NATIONAL GUARD TRAINING INSTITUTE PURCHASE OF DRONE FOR TRAINING PURPOSES,2025-09-23,2026-03-19 12:15:31
CONT_AWD_W91QVN26PA017_9700_-NONE-_-NONE-,W91QVN26PA017,KENCOA AEROSPACE CORPORATION,Department of Defense,14465.32,READY-TO-FLY UAS WITH SPARE BATTERIES,2026-04-09,2026-07-01 19:47:50
CONT_AWD_W91ZRS26FC010_9700_47QSMS25D008P_4732,W91ZRS26FC010,W S DARLEY & CO,Department of Defense,23701.2,DRONE RTI,2026-05-22,2026-08-07 07:03:05
